nama_toko,lokasi_seller,url_toko,rating_toko,jumlah_produk,kategori_dijual,contoh_produk
Head & Shoulders,Kab. Gresik,https://www.lazada.co.id/head-shoulders/?type=brand,-,1,Lainnya,"Head and Shoulders Shampoo Supreme Anti Hairfall 480ml x3
Rp178.000"
Lactacyd Baby,Kab. Gresik,https://www.lazada.co.id/lactacyd-baby-123476219/?type=brand,-,1,Ibu & Bayi,"Lactacyd Baby Sabun & Sampo 2in1 20+4x60ml
Rp620.000"
La Mer,Kab. Gresik,https://www.lazada.co.id/la-mer/?type=brand,-,1,Kecantikan,"La Mer | The Rejuvenating Night Cream | Moisturizer Pelembap, Anti-aging kembalikan kekenyalan wajah | Skincare kulit sensitif - [ 9.9 Exclusive ]
Rp4.649.900"
Eiger,Kab. Gresik,https://www.lazada.co.id/eiger/?type=brand,-,1,Lainnya,"EIGER ALVERSTONE WATCH
Rp662.150"
Evangeline,Kab. Gresik,https://www.lazada.co.id/evangeline/?type=brand,-,1,Kecantikan,"Evangeline - Sakura Black Sakura Eau De Parfum 100ml
Rp37.685 -58%"
Fres & Natural,Kab. Gresik,https://www.lazada.co.id/fres---natural/?type=brand,-,1,Lainnya,"[Paket Isi 4] Fres & Natural Cologne Dessert Violet Berry Macaron Botol 100ml
Rp39.200"
Frisian Flag,Kab. Gresik,https://www.lazada.co.id/frisian-flag/?type=brand,-,1,Lainnya,"Frisian Flag Omega Susu UHT Plain 110ml isi 36 pcs [Karton]
Rp84.500"
COSRX,Kab. Gresik,https://www.lazada.co.id/cosrx/?type=brand,-,1,Otomotif,"COSRX AHA/BHA Clarifying Treatment Toner - 150 ML (Toner Eksfoliasi Ringan Untuk Semua Jenis Kulit)
Rp129.999"
Cap Lang,Kab. Gresik,https://www.lazada.co.id/cap-lang/?type=brand,-,1,Lainnya,"Cap Lang Eucalyptus Oil 120 ml
Rp
50.300
Rp
57.848
-13%"
Closeup,Kab. Gresik,https://www.lazada.co.id/closeup/?type=brand,-,1,Lainnya,"Closeup Pasta Gigi Menthol Fresh Valuepack 160gr x2
Rp26.200"
Citra,Kab. Gresik,https://www.lazada.co.id/citra/?type=brand,-,1,Lainnya,"Citra Moisturizer Krim Wajah Pearly Glow UV 40gr
Rp
40.700
Rp
52.745
-23%"
Daia,Kab. Gresik,https://www.lazada.co.id/daia/?type=brand,-,1,Lainnya,"[Paket isi 2] Daia Deterjen Bubuk Violet 4kg
Rp103.700"
Cussons Baby,Kab. Gresik,https://www.lazada.co.id/cussons-baby/?type=brand,-,1,Ibu & Bayi,"Cussons Baby Cologne Soft Touch 100ml
Rp16.600"
Dua Belibis,Kab. Gresik,https://www.lazada.co.id/dua-belibis/?type=brand,-,1,Lainnya,"Dua Belibis Saus Mayo Pedas (1kg)
Rp27.645 -13%"
Chilwee,Kab. Gresik,https://www.lazada.co.id/chilwee/?type=brand,-,1,Olahraga & Outdoor,"Aki CHILWEE 12v 12ah - 14ah Baterai Sepeda Listrik Motor Listrik Deep Cycle VRLA
Rp238.000"
Carvil,Kab. Gresik,https://www.lazada.co.id/carvil/?type=brand,-,1,Fashion Anak,"Carvil Sepatu Anak Sekolah Deku KP-01
Rp169.900"
Carvil,Kab. Gresik,https://www.lazada.co.id/shop/carvil/?itemId=8386130450&channelSource=pdp,-,1,Sepatu & Sandal,"Carvil Sepatu Wanita Zelyn LL - Sneakers
Rp166.369"
Nahda,Kab. Gresik,https://www.lazada.co.id/nahda-124043231/?type=brand,-,1,Kecantikan,"cream malam nahda skincare
Rp35.231 -63%"
NIVEA,Kab. Gresik,https://www.lazada.co.id/nivea/?type=brand,-,1,Kecantikan,"(Save pack of 2) Nivea facial foam sparkling bright 100ml-women's face wash soap brighten glowing supple skin blackspots brightening dull skin cleanser facial wash brightening face-Pearl micro serum, "
My Baby,Kab. Gresik,https://www.lazada.co.id/my-baby/?type=brand,-,1,Ibu & Bayi,"My Baby Minyak Telon Plus Aroma Eucalyptus Anti Nyamuk 150ml/90ml/60ml EXPD 2027/28
Rp22.274 -1%"
Morris,Kab. Gresik,https://www.lazada.co.id/lazada6916074_morris-127198235/?type=brand,-,1,Lainnya,"MORRIS MEN Bright and Moist Face and Beard Wash 100gr | Facial Wash Pembersih Wajah Cowok
Rp22.500"
Milo,Kab. Gresik,https://www.lazada.co.id/milo/?type=brand,-,1,Lainnya,"MILO Activ Cube 67.5gr
Rp10.796"
Miranda,Kab. Gresik,https://www.lazada.co.id/miranda/?type=brand,-,1,Lainnya,"CAT RAMBUT MIRANDA BLACK MC1 HAIR COLOR MIRANDA BPOM
Rp16.184 -5%"
MamyPoko,Kab. Gresik,https://www.lazada.co.id/shop/mamypoko1629966944/?itemId=8724876776&channelSource=pdp,-,1,Ibu & Bayi,"MamyPoko Pants Tidak Gembung ukuran XXL34 x3 (15-25kg) isi 102 pcs [Karton] - Exclusive Online - Popok Bayi
Rp197.700"
Merries,Kab. Gresik,https://www.lazada.co.id/shop/merries/?itemId=160028207&channelSource=pdp,-,1,Ibu & Bayi,"Merries Popok Bayi Good Skin Pants L28 x4 (9-14kg) isi 112 pcs [Karton]
Rp
226.400
Rp
297.800
-24%"
Lokal Brand,Kab. Gresik,https://www.lazada.co.id/lokal-brand/?type=brand,-,1,Lainnya,"CELANA BAHAN PRIA KANTOR SLIMFIT BAHAN WOL / CELANA BAHAN JAS PRIA / CELANA KANTOR SLIM FIT / CELANA KERJA FORMAL SLIMFIT COD / CELANA PANJANG KERJA HITAM
Rp41.050 -77%"
