Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Kantor Bupati Gresik,4.3,116,Ahmad'S LingTech,5,2020-03-12T13:33:43.021Z,"Kantor Bupati Gresik ini dilengkapi dengan halaman yang luas sehingga bisa digunakan untuk kegiatan luar ruang untuk banyak orang seperti upacara. Dalam lingkungan ini juga terdapat kantor-kantor pemerintahan tingkat kabupaten lainnya, seperti Dinas Kesehatan, dan juga kantor lainnya."
Kantor Bupati Gresik,4.3,116,Mustafizin Achmad,5,2020-02-21T09:28:30.466Z,
Kantor Bupati Gresik,4.3,116,Channel Inspirasi Bersama,5,2020-01-03T05:33:34.290Z,pusat pemerintahan kabupaten gresik gedungnya besar dan megah didepan gedung ada halaman yang cukup luas biasanya digunakan untuk apel dan upacara parkir kendaraan ada di sisi kanan dan kiri gedung
RSUD Ibnu Sina Gresik,4.2,1807,Alfatih Irawan (Irana),5,2026-07-18T05:12:32.350Z,"Alhamdulillah  suami berada di R.Dahlia.. pelayanan  sangat bagus, memuaskan ,ramah, sabar,  dan ruangan bersih... Terimakasih buat petugas R.Dahlia👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾"
RSUD Ibnu Sina Gresik,4.2,1807,Tatik Ezza,5,2026-07-18T04:44:05.313Z,Terima kasih ruang dahlia tempat nya bersih dan nyaman.. 🙏🙏
RSUD Ibnu Sina Gresik,4.2,1807,widya yuni,5,2026-07-18T04:43:09.108Z,puas untuk pelayanannya Terimakasih
RSUD Ibnu Sina Gresik,4.2,1807,33_Kharisma ilmiah Nur aufa,5,2026-07-18T04:41:41.993Z,
RSUD Ibnu Sina Gresik,4.2,1807,Naning Sri,5,2026-07-18T04:40:28.814Z,Perawat maupun dokter cara menangani nya disini baik dan ramah
RSUD Ibnu Sina Gresik,4.2,1807,Almeera Azzahra,5,2026-07-18T04:36:36.950Z,Sangat bagus pelayanannya
RSUD Ibnu Sina Gresik,4.2,1807,king'za gilang,5,2026-07-17T05:17:25.384Z,Terima kasih atas pelayanan diruang dahlia terhadap ibu saya kamarnya dingin dan nyaman
RSUD Ibnu Sina Gresik,4.2,1807,Maria Dwi,5,2026-07-17T05:14:44.520Z,Dokter dan perawat semua baik dan ramah2. Terima kasih sudah memberikan pelayanan yg baik.
RSUD Ibnu Sina Gresik,4.2,1807,Nurul Khikmah,5,2026-07-17T05:07:07.006Z,Terima kasih buat perawat ruang dahlia yang ramah dan baik2
RSUD Ibnu Sina Gresik,4.2,1807,Faridah Hasana,5,2026-07-17T04:58:44.716Z,Terima kasih atas perawatan diruang dahlia perawat sama dokternya baik2 .ruangannya dingin dan nyaman
RSUD Ibnu Sina Gresik,4.2,1807,Trya Sezha,5,2026-07-16T05:10:26.399Z,"perawatnya cukup rama, ruangnya cukup nyaman"
RSUD Ibnu Sina Gresik,4.2,1807,Shulaihah,5,2026-07-16T05:05:47.585Z,Baik sangat baik cukup bersih dan nyaman
RSUD Ibnu Sina Gresik,4.2,1807,purih slamet,5,2026-07-16T05:04:51.782Z,Pelayanan sangat baik dan ramah
RSUD Ibnu Sina Gresik,4.2,1807,Sumiati Farin,5,2026-07-16T02:52:33.807Z,Baik trimakasih perawat ruang Dahlia atas perawatan bapak sayaperawat sama dokter baik2
